time	event_type	event	left	right	bottom	top
4.695999237	stimulus	1a	0.283	0.384	0.412	0.582
14.695999237	stimulus	1b	0.616	0.718	0.412	0.582
23.695999237	stimulus	2a	0.283	0.384	0.412	0.582
33.695999237	stimulus	2b	0.616	0.718	0.412	0.582
39.695999237	stimulus	1a	0.283	0.384	0.412	0.582
45.695999237	stimulus	1b	0.616	0.718	0.412	0.582
56.695999237	stimulus	2a	0.283	0.384	0.412	0.582
65.695999237	stimulus	2b	0.616	0.718	0.412	0.582
74.695999237	stimulus	1a	0.283	0.384	0.412	0.582
86.695999237	stimulus	1b	0.616	0.718	0.412	0.582
94.695999237	stimulus	2a	0.283	0.384	0.412	0.582
102.695999237	stimulus	2b	0.616	0.718	0.412	0.582
108.695999237	stimulus	1a	0.283	0.384	0.412	0.582
119.695999237	stimulus	1b	0.616	0.718	0.412	0.582
127.695999237	stimulus	2a	0.283	0.384	0.412	0.582
133.695999237	stimulus	2b	0.616	0.718	0.412	0.582
140.695999237	stimulus	1a	0.283	0.384	0.412	0.582
151.695999237	stimulus	1b	0.616	0.718	0.412	0.582
157.695999237	stimulus	2a	0.283	0.384	0.412	0.582
163.695999237	stimulus	2b	0.616	0.718	0.412	0.582
170.695999237	stimulus	1a	0.283	0.384	0.412	0.582
180.695999237	stimulus	1b	0.616	0.718	0.412	0.582
187.695999237	stimulus	2a	0.283	0.384	0.412	0.582
193.695999237	stimulus	2b	0.616	0.718	0.412	0.582
202.695999237	stimulus	1a	0.283	0.384	0.412	0.582
209.695999237	stimulus	1b	0.616	0.718	0.412	0.582
218.695999237	stimulus	2a	0.283	0.384	0.412	0.582
225.695999237	stimulus	2b	0.616	0.718	0.412	0.582
231.695999237	stimulus	1a	0.283	0.384	0.412	0.582
242.695999237	stimulus	1b	0.616	0.718	0.412	0.582
249.695999237	stimulus	2a	0.283	0.384	0.412	0.582
257.695999237	stimulus	2b	0.616	0.718	0.412	0.582
266.695999237	stimulus	1a	0.283	0.384	0.412	0.582
276.695999237	stimulus	1b	0.616	0.718	0.412	0.582
281.695999237	stimulus	2a	0.283	0.384	0.412	0.582
286.695999237	stimulus	2b	0.616	0.718	0.412	0.582
292.695999237	stimulus	1a	0.283	0.384	0.412	0.582
304.695999237	stimulus	1b	0.616	0.718	0.412	0.582
4.695999237	virtual	S	NA	NA	NA	NA
6.032005137	response	R	NA	NA	NA	NA
7.264035237	response	R	NA	NA	NA	NA
8.495998737	response	R	NA	NA	NA	NA
9.696035437	response	R	NA	NA	NA	NA
10.196050137	response	R	NA	NA	NA	NA
10.795995637	response	R	NA	NA	NA	NA
11.232038937	response	R	NA	NA	NA	NA
11.696068437	response	R	NA	NA	NA	NA
11.963994937	response	R	NA	NA	NA	NA
12.231998737	response	R	NA	NA	NA	NA
12.796000237	response	R	NA	NA	NA	NA
13.432033037	response	R	NA	NA	NA	NA
13.796028637	response	R	NA	NA	NA	NA
14.132010737	response	R	NA	NA	NA	NA
14.496047137	response	R	NA	NA	NA	NA
14.964026137	response	R	NA	NA	NA	NA
15.396028037	response	R	NA	NA	NA	NA
15.764022937	response	R	NA	NA	NA	NA
16.063982437	response	R	NA	NA	NA	NA
16.564008437	response	R	NA	NA	NA	NA
16.896039837	response	R	NA	NA	NA	NA
17.264015537	response	R	NA	NA	NA	NA
17.563951537	response	R	NA	NA	NA	NA
18.364014637	response	R	NA	NA	NA	NA
18.695974037	response	R	NA	NA	NA	NA
18.964035937	response	R	NA	NA	NA	NA
18.996064137	response	R	NA	NA	NA	NA
19.264022937	response	R	NA	NA	NA	NA
19.532057037	response	R	NA	NA	NA	NA
19.832054137	response	R	NA	NA	NA	NA
20.231995837	response	R	NA	NA	NA	NA
20.663978637	response	R	NA	NA	NA	NA
20.995997137	response	R	NA	NA	NA	NA
21.296013537	response	R	NA	NA	NA	NA
21.495984937	response	R	NA	NA	NA	NA
21.931994937	response	R	NA	NA	NA	NA
22.232008337	response	R	NA	NA	NA	NA
22.532060237	response	R	NA	NA	NA	NA
22.895956937	response	R	NA	NA	NA	NA
23.232033837	response	R	NA	NA	NA	NA
23.795991437	response	R	NA	NA	NA	NA
24.263988237	response	R	NA	NA	NA	NA
24.532007537	response	R	NA	NA	NA	NA
24.664002437	response	R	NA	NA	NA	NA
25.432018037	response	R	NA	NA	NA	NA
26.696036137	response	R	NA	NA	NA	NA
27.563968637	response	R	NA	NA	NA	NA
30.032045237	response	R	NA	NA	NA	NA
31.896018237	response	R	NA	NA	NA	NA
32.928013537	response	R	NA	NA	NA	NA
34.396019537	response	R	NA	NA	NA	NA
36.596053137	response	R	NA	NA	NA	NA
40.696057737	response	R	NA	NA	NA	NA
41.128010637	response	R	NA	NA	NA	NA
41.728014637	response	R	NA	NA	NA	NA
42.296021137	response	R	NA	NA	NA	NA
42.864045137	response	R	NA	NA	NA	NA
43.264051437	response	R	NA	NA	NA	NA
43.796057937	response	R	NA	NA	NA	NA
44.364034237	response	R	NA	NA	NA	NA
44.796033637	response	R	NA	NA	NA	NA
45.196018637	response	R	NA	NA	NA	NA
45.728032637	response	R	NA	NA	NA	NA
46.664020437	response	R	NA	NA	NA	NA
47.195983237	response	R	NA	NA	NA	NA
